"","county","estab_area","div_index","rec_area","health_rank","night_area","ent_area"
"42","Santa Barbara",0.036420450346786,0.583869,0.0155001911690244,"17",0.00263802359272433,0.036420450346786
"43","Santa Clara",0.131127930249143,0.694312,0.0141820563465991,"4",0.00259434778096786,0.131127930249143
"44","Santa Cruz",0.0856432300673617,0.543935,0.0129717389048393,"13",0.0024544148228805,0.0856432300673617
"45","Shasta",0.00363880210634659,0.32551,0.0114791672246817,"36",0.00226077258135013,0.00363880210634659
"46","Sierra",0.00103927417091903,0.24407,0.00937140205099828,"26",0.00218231699713181,0.00103927417091903
"47","Siskiyou",0.000787731553690207,0.373131,0.00753590860450044,"33",0.00202554208570069,0.000787731553690207
"48","Solano",0.0275880334146261,0.725821,0.00641421660471884,"23",0.00186002294028293,0.0275880334146261
"49","Sonoma",0.055997058740349,0.505207,0.00615249996581944,"11",0.00143836256805253,0.055997058740349
"50","Stanislaus",0.0125438208478302,0.6011,0.00542804960598746,"41",0.00141791679664237,0.0125438208478302
"51","Sutter",0.00328682476293776,0.647059,0.00538227616459001,"40",0.00136722221462654,0.00328682476293776
"52","Tehama",0.0016879517380839,0.449472,0.00488393563287928,"47",0.00127115412320026,0.0016879517380839
"53","Trinity",0.000623519142037661,0.300837,0.00406590010896612,"46",0.00103927417091903,0.000623519142037661
"54","Tulare",0.00289336901821789,0.512942,0.00342935528120713,"55",0.000813180021793225,0.00289336901821789
"55","Tuolumne",0.0039570353890865,0.319478,0.00254231238956831,"19",0.000319297035646321,0.0039570353890865
"56","Ventura",0.123167208542008,0.596774,0.00105929510266688,"16",0.000195562491505254,0.123167208542008
"57","Yolo",0.0156317167532924,0.642001,0.000237902650235524,"14",0,0.0156317167532924
"58","Yuba",0.00931951973408304,0.590487,0,"50",0,0.00931951973408304
